index,id,namespace,operation,platform,category,kernel_contract_version,hub_url
1,webgpu-kernels/ai.onnx.Transpose,ai.onnx,Transpose,WebGPU,tensor-shape,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Transpose
2,webgpu-kernels/ai.onnx.Xor,ai.onnx,Xor,WebGPU,logical-bitwise,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Xor
3,webgpu-kernels/ai.onnx.Where,ai.onnx,Where,WebGPU,indexing,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Where
4,webgpu-kernels/ai.onnx.ScatterND,ai.onnx,ScatterND,WebGPU,indexing,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.ScatterND
5,webgpu-kernels/ai.onnx.Softmax,ai.onnx,Softmax,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Softmax
6,webgpu-kernels/ai.onnx.Sub,ai.onnx,Sub,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Sub
7,webgpu-kernels/ai.onnx.Unique,ai.onnx,Unique,WebGPU,indexing,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Unique
8,webgpu-kernels/ai.onnx.ReduceSumSquare,ai.onnx,ReduceSumSquare,WebGPU,reduction,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.ReduceSumSquare
9,webgpu-kernels/ai.onnx.Scatter,ai.onnx,Scatter,WebGPU,indexing,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Scatter
10,webgpu-kernels/ai.onnx.ScatterElements,ai.onnx,ScatterElements,WebGPU,indexing,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.ScatterElements
11,webgpu-kernels/ai.onnx.ReduceLogSum,ai.onnx,ReduceLogSum,WebGPU,reduction,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.ReduceLogSum
12,webgpu-kernels/ai.onnx.ReduceMin,ai.onnx,ReduceMin,WebGPU,reduction,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.ReduceMin
13,webgpu-kernels/ai.onnx.ReduceMean,ai.onnx,ReduceMean,WebGPU,reduction,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.ReduceMean
14,webgpu-kernels/ai.onnx.ReduceSum,ai.onnx,ReduceSum,WebGPU,reduction,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.ReduceSum
15,webgpu-kernels/ai.onnx.ReduceMax,ai.onnx,ReduceMax,WebGPU,reduction,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.ReduceMax
16,webgpu-kernels/ai.onnx.ReduceProd,ai.onnx,ReduceProd,WebGPU,reduction,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.ReduceProd
17,webgpu-kernels/ai.onnx.ReduceL1,ai.onnx,ReduceL1,WebGPU,reduction,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.ReduceL1
18,webgpu-kernels/ai.onnx.ReduceL2,ai.onnx,ReduceL2,WebGPU,reduction,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.ReduceL2
